year,unemployment_rate,consumer_sentiment,gdp_growth,sp500_annual_avg,sp500_yoy_change,recession_share
2000,3.966666666666667,107.575,2.95,,,0.0
2001,4.741666666666666,89.24166666666667,0.175,,,0.6666666666666666
2002,5.783333333333334,89.58333333333333,2.0,,,0.0
2003,5.991666666666667,87.625,4.3,,,0.0
2004,5.541666666666667,95.2,3.3249999999999997,,,0.0
2005,5.083333333333333,88.55,2.975,,,0.0
2006,4.608333333333333,87.30833333333334,2.65,,,0.0
2007,4.616666666666666,85.58333333333333,2.125,,,0.0
2008,5.8,63.75,-2.475,,,1.0
2009,9.283333333333333,66.25833333333334,0.15000000000000013,,,0.5
2010,9.608333333333334,71.84166666666667,2.75,,,0.0
2011,8.933333333333334,67.35000000000001,1.575,,,0.0
2012,8.075,76.54166666666667,1.575,,,0.0
2013,7.358333333333333,79.20833333333333,3.025,,,0.0
2014,6.158333333333334,84.125,2.725,,,0.0
2015,5.2749999999999995,92.94166666666666,2.1,,,0.0
2016,4.875,91.84166666666665,2.175,2140.0372395833333,,0.0
2017,4.358333333333333,96.76666666666667,3.025,2449.076374501992,14.440829776346753,0.0
2018,3.891666666666666,98.36666666666667,2.125,2746.2140239043824,12.132641206945284,0.0
2019,3.6750000000000003,95.98333333333333,3.375,2913.3605555555555,6.086435004564406,0.0
2020,8.1,81.54166666666667,1.5750000000000006,3217.8564822134385,10.451707601973004,0.16666666666666666
2021,5.3500000000000005,77.61666666666666,5.75,4273.406626984127,32.80289691616751,0.0
2022,3.65,58.975,1.325,4098.514741035857,-4.092563643345515,0.0
2023,3.625,65.35000000000001,3.375,4283.72944,4.519068752143429,0.0
